EmployeeID,PhoneNo,Mail,Title,Wage,Firstname,Lastname
101,12345678,'erik.hansen@kartverket.no','Senior Surveyor',650000,'Erik','Hansen'
102,23456789,'maria.olsen@kartverket.no','GIS Specialist',600000,'Maria','Olsen'
103,34567890,'anders.berg@kartverket.no','Property Lawyer',700000,'Anders','Berg'
104,45678901,'sofia.larsen@kartverket.no','Cartographer',580000,'Sofia','Larsen'
105,56789012,'nils.bakken@kartverket.no','Data Analyst',620000,'Nils','Bakken'
106,67890123,'line.pedersen@kartverket.no','GIS Manager',680000,'Line','Pedersen'
107,78961234,'jonas.andreassen@kartverket.no','Senior Surveyor',660000,'Jonas','Andreassen'
108,89012345,'emma.kristiansen@kartverket.no','Cartography Specialist',590000,'Emma','Kristiansen'
109,90123456,'martin.johansen@kartverket.no','Data Analyst',610000,'Martin','Johansen'
110,01234567,'ingrid.nelson@kartverket.no','Project Coordinator',630000,'Ingrid','Nelson'
111,12345478,'magnus.olsen@kartverket.no','Remote Sensing Expert',670000,'Magnus','Olsen'
112,23459789,'sara.hansen@kartverket.no','Legal Advisor',690000,'Sara','Hansen'
113,34517890,'daniel.berg@kartverket.no','Technical Specialist',640000,'Daniel','Berg'
114,45671901,'julia.larsen@kartverket.no','Research Coordinator',620000,'Julia','Larsen'
115,56779012,'thomas.jensen@kartverket.no','Senior Analyst',650000,'Thomas','Jensen'
116,67820123,'maria.andersen@kartverket.no','Geospatial Specialist',600000,'Maria','Andersen'
117,78901234,'alexander.pedersen@kartverket.no','Field Operations Manager',680000,'Alexander','Pedersen'
118,83012345,'sofia.olsen@kartverket.no','Data Visualization Expert',610000,'Sofia','Olsen'
119,90323436,'hans.hansen@kartverket.no','Senior Consultant',670000,'Hans','Hansen'
120,01234267,'linnea.berg@kartverket.no','Research Analyst',590000,'Linnea','Berg'
